name,available,base_power,constant_active_power,constant_reactive_power,impedance_active_power,impedance_reactive_power,current_active_power,current_reactive_power,max_constant_active_power,max_constant_reactive_power,max_impedance_active_power,max_impedance_reactive_power,max_current_active_power,max_current_reactive_power
load_73309~MU,true,100.0,4.872,1.624,0.0,0.0,0.0,0.0,4.872,1.624,0.0,0.0,0.0,0.0
load_73310~MU,true,100.0,7.529,2.51,0.0,0.0,0.0,0.0,7.529,2.51,0.0,0.0,0.0,0.0
load_73311~MU,true,100.0,10.187,3.396,0.0,0.0,0.0,0.0,10.187,3.396,0.0,0.0,0.0,0.0
load_73312~WA,true,100.0,5.0,1.643,0.0,0.0,0.0,0.0,5.0,1.643,0.0,0.0,0.0,0.0
load_73313~WA,true,100.0,5.0,1.643,0.0,0.0,0.0,0.0,5.0,1.643,0.0,0.0,0.0,0.0
load_73314~WA,true,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
load_73318~TS,true,100.0,18.08,3.27,0.0,0.0,0.0,0.0,18.08,3.27,0.0,0.0,0.0,0.0
load_73320~TS,true,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
load_73325~TS,true,100.0,9.64,0.66,0.0,0.0,0.0,0.0,9.64,0.66,0.0,0.0,0.0,0.0
load_73326~TS,true,100.0,5.37,-0.32,0.0,0.0,0.0,0.0,5.37,-0.32,0.0,0.0,0.0,0.0
load_73327~TS,true,100.0,2.27,-0.74,0.0,0.0,0.0,0.0,2.27,-0.74,0.0,0.0,0.0,0.0
load_73329~DW,true,100.0,1.6399999999999997,0.547,0.0,0.0,0.0,0.0,1.6399999999999997,0.547,0.0,0.0,0.0,0.0
load_73330~WA,true,100.0,8.0,2.667,0.0,0.0,0.0,0.0,8.0,2.667,0.0,0.0,0.0,0.0
load_73331~MU,true,100.0,6.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0
